epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,backbone,device,batch_size
1,0.01,0.5250514302942113,0.8333509346287887,0.34912140033806965,0.8950318471337579,resnet18,cuda,64
2,0.009619397662556433,0.3511898636956416,0.8847819199493082,0.22706614421431426,0.9261146496815287,resnet18,cuda,64
3,0.008535533905932736,0.30320067413380236,0.8984053226317457,0.1911045913559616,0.9408917197452229,resnet18,cuda,64
4,0.006913417161825449,0.25590089673867056,0.9184707994508395,0.13719239562939686,0.9556687898089172,resnet18,cuda,64
5,0.004999999999999999,0.1943670050913309,0.9362129052698278,0.12302782477087276,0.9597452229299364,resnet18,cuda,64
6,0.003086582838174551,0.1758896541253656,0.9430774104974126,0.10950134454259447,0.965859872611465,resnet18,cuda,64
7,0.0014644660940672624,0.1648876524809384,0.9484634069067484,0.10392699116734183,0.9684076433121019,resnet18,cuda,64
8,0.00038060233744356627,0.1452554813098827,0.9539550110888161,0.10002014300625794,0.9689171974522293,resnet18,cuda,64
