precision,accuracy,size_mib,machine,cpu,cores_physical,cores_logical,system,arch,python_version,torch_version,device,runtime,threads_requested,threads_effective,batch_size,image_size,warmup,runs,median_ms,p95_ms,mean_ms,std_ms,min_ms,max_ms
float32,0.9689171974522293,42.72797870635986,HP ProBook 445 14 inch G10 Notebook PC,AMD Ryzen 5 7530U with Radeon Graphics,6,12,Linux,x86_64,3.14.0,2.14.0+cpu,cpu,onnxruntime,6,6,1,160,10,50,6.458384998950351,7.09784629952992,6.558408719938598,0.25298013014443227,6.353429998853244,7.523538999521406
int8,0.9640764331210191,10.825296401977539,HP ProBook 445 14 inch G10 Notebook PC,AMD Ryzen 5 7530U with Radeon Graphics,6,12,Linux,x86_64,3.14.0,2.14.0+cpu,cpu,onnxruntime,6,6,1,160,10,50,3.8779255010013003,4.433114350558753,3.973985820048256,0.20302112597983155,3.7902880012552487,4.596849999870756
